id,title,is_paid,num_subscribers,avg_rating,avg_rating_recent,rating,num_reviews,is_wishlisted,tags
996542,Technical Analysis : High-Profit COUNTER TREND Trading,True,253,4.25,4.4555,4.4555,49,False,"technical, analysis, high, profit, counter, trend, trading"
803664,How to invest in Gold,True,413,4.7,4.68299,4.68299,49,False,"invest, gold"
2240286,50 Ways to Make Money Using Online Strategies & Tools,True,5100,3.9,3.70335,3.70335,49,False,"50, ways, money, online, strategies, tools"
72504,Final Draft Course: The #1 Screenwriting Software in World,True,666,4.05,4.01176,4.01176,48,False,"final, draft, course, 1, screenwriting, software, world"
536248,Free Wordpress Blog Or Paid Webhost? [Wordpress .com v .org],True,1855,4.2,4.26753,4.26753,48,False,"free, wordpress, blog, paid, webhost, wordpress, v"
26454,Learn about Eastern Medicine and Energy Psychology,True,303,3.65,3.61997,3.61997,48,False,"learn, eastern, medicine, energy, psychology"
1432860,Top Growth Hacks and Opportunities for Growing your Sales,True,808,4.35,3.82293,3.82293,48,False,"growth, hacks, opportunities, growing, sales"
3223077,Adsense Arbitrage: Everything You Need to Know,True,4179,4.02083,4.18152,4.18152,48,False,"adsense, arbitrage, need, know"
2657368,The Complete Supervised Machine Learning Models in Python,True,1645,4.55,4.33844,4.33844,48,False,"complete, supervised, machine, learning, models, python"
2468374,Football Betting for Pros: Build Your Own Profitable System,True,197,3.92857,4.00355,4.00355,48,False,"football, betting, pros, build, profitable, system"
364864,Kindle Tips: How To Build a Sustainable Business With Ebooks,True,2014,4.0,4.06831,4.06831,48,False,"kindle, tips, build, sustainable, business, ebooks"
158736,Real Estate Investing and Cash Flows to Earn Wealth!,True,1897,4.25,4.27709,4.27709,48,False,"real, estate, investing, cash, flows, earn, wealth"
1314502,Amazon Mastery BootCamp: 5 Comprehensive Online Courses,True,1036,4.3,4.09952,4.09952,48,False,"amazon, mastery, bootcamp, 5, comprehensive, online, courses"
2229500,Ascended Master Tarot Reading by Antojai®,True,295,4.54167,4.54302,4.54302,48,False,"ascended, master, tarot, reading, antojai"
2460202,Digital Business Analytics - Analítica de Negocios Digitales,True,516,4.15,4.20626,4.20626,48,False,"digital, business, analytics, analítica, de, negocios, digitales"
1770508,Customer Service Training,True,154,4.3,4.32411,4.32411,49,False,"customer, service, training"
1686130,IFRS 9 - Basics To Expert,True,166,3.05,3.03083,3.03083,48,False,"ifrs, 9, basics, expert"
486428,Project Planning and Scheduling for Beginners,True,220,4.15,4.17599,4.17599,48,False,"project, planning, scheduling, beginners"
1156464,How to Create Irresistible Nonfiction Book Titles - Proven,True,3495,3.9,4.21311,4.21311,48,False,"create, irresistible, nonfiction, book, titles, proven"
1595506,Start your event ticketing portal or Sell tickets for events,True,4475,3.05,3.07121,3.07121,48,False,"start, event, ticketing, portal, sell, tickets, events"
